id_post;Hora;Canal;Formato;Alcance;Interacciones;Reproducciones;Duracion_video;DM;Retencion;Visitas_perfil;Link_bio;Visitas_producto;Carrito;Compras;Valor_compra;Contacto;Inversion;ROI;Engagement;CPC;Unnamed: 23;Ruta;Fecha;Imagen
POST_176;04:02:27;Instagram;Carrusel;42867;2802;Sin datos;Sin datos;22;Sin datos;264;35;80;50;10;373.9;7;531.49;1.17;0.11;0.21;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_176.jpg;2025-04-12;IMG_176.jpg
POST_125;01:08:55;TikTok;Reel;11588;1774;1309;128;90;0.7;336;26;2;18;14;488.27;8;0.0;4.59;64.0;0.61;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_125.jpg;2025-06-29;IMG_125.jpg
POST_47;05:18:30;TikTok;Carrusel;1637;426;Sin datos;Sin datos;77;Sin datos;20;39;181;25;12;288.25;3;738.14;1.06;107.0;0.94;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_47.jpg;2025-01-14;IMG_47.jpg
POST_83;13:12:03;Instagram;Reel;38619;3940;9363;164;25;0.64;478;30;2;27;8;262.12;7;284.34;1.86;0.13;0.43;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_83.jpg;2025-05-17;IMG_83.jpg
POST_46;14:35:39;Twitter;Reel;41040;1640;6531;45;8;0.38;222;33;131;47;4;380.49;7;770.27;2.78;136.0;1.66;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_46.jpg;2025-07-13;IMG_46.jpg
POST_83;17:54:38;Instagram;Imagen;20832;4173;Sin datos;Sin datos;95;Sin datos;397;36;133;2;11;328.32;1;387.09;4.45;64.0;0.58;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_83.jpg;2025-05-17;IMG_83.jpg
POST_132;00:37:39;TikTok;Reel;5310;4856;9512;116;70;0.83;241;43;165;50;10;428.87;3;123.16;3.89;0.06;1.56;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_132.jpg;2025-03-12;IMG_132.jpg
POST_111;14:22:59;Instagram;Reel;11463;1711;3265;194;33;0.52;489;37;164;11;18;229.58;2;518.04;0.83;124.0;0.17;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_111.jpg;2025-03-14;IMG_111.jpg
POST_125;08:44:54;Twitter;Carrusel;41927;4888;Sin datos;Sin datos;99;Sin datos;342;3;135;36;11;229.36;3;737.37;3.85;18.0;1.42;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_125.jpg;2025-06-29;IMG_125.jpg
POST_148;19:11:06;TikTok;Carrusel;38454;1550;Sin datos;Sin datos;57;Sin datos;87;10;51;10;19;384.7;9;709.44;0.71;37.0;0.72;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_148.jpg;2024-11-05;IMG_148.jpg
POST_73;08:03:18;Facebook;Reel;24110;1345;8919;153;37;0.83;44;13;22;19;19;169.57;4;830.25;0.78;67.0;1.76;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_73.jpg;2024-08-14;IMG_73.jpg
POST_123;10:33:27;Instagram;Carrusel;28309;581;Sin datos;Sin datos;72;Sin datos;371;0;162;27;18;125.03;3;0.0;0.82;53.0;0.66;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_123.jpg;2025-01-20;IMG_123.jpg
POST_154;22:43:18;Facebook;Reel;47978;1762;6060;283;24;0.47;90;23;171;2;17;475.2;2;964.29;4.87;127.0;0.27;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_154.jpg;2025-05-04;IMG_154.jpg
POST_26;10:45:47;Facebook;Carrusel;30599;787;Sin datos;Sin datos;97;Sin datos;151;29;38;44;10;64.86;7;0.0;3.71;0.13;0.36;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_26.jpg;2025-04-23;IMG_26.jpg
POST_140;00:31:16;Twitter;Reel;23607;4921;730;127;19;0.47;324;45;169;4;16;162.54;10;408.33;3.88;101.0;0.32;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_140.jpg;2025-06-05;IMG_140.jpg
POST_78;10:57:41;Instagram;Reel;23704;547;4915;145;55;0.26;261;30;185;4;6;296.83;1;311.87;3.17;75.0;0.41;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_78.jpg;2024-12-17;IMG_78.jpg
POST_189;19:30:25;Facebook;Reel;42163;4893;9696;151;65;0.51;362;42;187;0;20;455.92;1;783.42;3.71;24.0;0.89;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_189.jpg;2025-07-31;IMG_189.jpg
POST_102;10:55:01;Instagram;Reel;22164;4095;7930;299;89;0.91;133;7;145;33;16;23.07;3;0.0;4.25;76.0;1.59;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_102.jpg;2025-03-23;IMG_102.jpg
POST_190;16:13:30;Facebook;Carrusel;35134;3525;Sin datos;Sin datos;82;Sin datos;148;39;36;20;3;13.8;9;632.78;1.4;0.13;1.54;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_190.jpg;2024-08-08;IMG_190.jpg
POST_4;05:44:06;TikTok;Carrusel;14746;3741;Sin datos;Sin datos;77;Sin datos;194;47;27;1;1;396.38;6;67.22;4.07;143.0;1.72;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_4.jpg;2025-04-25;IMG_4.jpg
POST_56;02:17:04;Twitter;Carrusel;49002;2680;Sin datos;Sin datos;62;Sin datos;218;17;187;12;10;55.1;5;299.89;1.42;109.0;0.35;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_56.jpg;2025-05-21;IMG_56.jpg
POST_153;10:14:49;TikTok;Imagen;2911;3567;Sin datos;Sin datos;18;Sin datos;66;18;154;40;20;447.62;5;374.17;3.69;18.0;1.78;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_153.jpg;2025-08-01;IMG_153.jpg
POST_151;02:37:15;TikTok;Carrusel;28742;378;Sin datos;Sin datos;81;Sin datos;160;5;183;11;19;437.32;3;753.39;3.3;38.0;1.41;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_151.jpg;2025-05-09;IMG_151.jpg
POST_16;19:50:22;Instagram;Imagen;32802;3287;Sin datos;Sin datos;93;Sin datos;396;3;80;37;14;91.07;5;774.84;2.28;72.0;0.15;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_16.jpg;2025-07-01;IMG_16.jpg
POST_44;18:20:12;Twitter;Imagen;45271;171;Sin datos;Sin datos;16;Sin datos;399;45;82;9;9;67.13;1;0.0;1.56;113.0;1.98;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_44.jpg;2024-08-16;IMG_44.jpg
POST_8;07:37:15;Facebook;Carrusel;21462;78;Sin datos;Sin datos;44;Sin datos;319;23;41;17;11;348.29;4;647.35;4.12;128.0;1.49;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_8.jpg;2025-05-13;IMG_8.jpg
POST_91;10:46:35;Instagram;Reel;28736;1062;2850;139;94;0.29;397;12;103;37;20;43.81;7;0.0;2.43;58.0;1.95;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_91.jpg;2025-03-17;IMG_91.jpg
POST_91;07:22:36;Twitter;Reel;11728;3811;6520;15;37;0.93;97;39;117;41;5;423.99;5;641.92;3.57;61.0;0.9;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_91.jpg;2025-03-17;IMG_91.jpg
POST_158;16:13:57;Facebook;Carrusel;22166;1171;Sin datos;Sin datos;19;Sin datos;143;41;25;20;8;324.09;8;0.0;0.78;58.0;0.47;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_158.jpg;2025-03-22;IMG_158.jpg
POST_180;18:32:14;Facebook;Imagen;11535;1674;Sin datos;Sin datos;96;Sin datos;13;28;105;33;10;161.71;5;821.6;4.59;58.0;0.83;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_180.jpg;2025-03-21;IMG_180.jpg
POST_36;20:11:35;Twitter;Reel;37215;1408;4733;97;25;0.23;25;18;87;37;8;342.99;2;183.4;2.01;15.0;1.82;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_36.jpg;2025-01-18;IMG_36.jpg
POST_66;16:51:48;Facebook;Reel;24978;4300;8436;274;48;0.36;396;1;60;0;20;195.83;10;0.0;3.62;19.0;1.82;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_66.jpg;2024-11-12;IMG_66.jpg
POST_15;05:19:35;TikTok;Reel;33942;2393;3161;44;96;0.11;465;18;154;15;17;305.73;3;0.0;4.97;31.0;0.42;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_15.jpg;2025-06-26;IMG_15.jpg
POST_3;01:53:17;Twitter;Reel;13371;51;2178;150;77;0.43;437;2;28;23;14;208.04;1;312.9;3.8;117.0;0.69;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_3.jpg;2024-10-29;IMG_3.jpg
POST_41;20:09:08;TikTok;Reel;24757;4440;2362;147;71;0.95;11;23;34;0;17;65.14;9;0.0;0.77;45.0;1.35;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_41.jpg;2025-03-18;IMG_41.jpg
POST_174;16:29:43;TikTok;Carrusel;41752;3038;Sin datos;Sin datos;66;Sin datos;282;32;139;36;6;389.29;0;818.47;3.21;98.0;1.61;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_174.jpg;2025-01-27;IMG_174.jpg
POST_169;05:38:51;TikTok;Carrusel;28081;2002;Sin datos;Sin datos;81;Sin datos;288;27;119;17;16;220.67;0;873.37;2.77;0.08;0.68;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_169.jpg;2025-07-09;IMG_169.jpg
POST_13;16:32:27;Instagram;Reel;1285;3184;3833;99;68;0.25;288;36;65;42;9;397.92;3;387.41;3.41;99.0;0.82;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_13.jpg;2025-06-10;IMG_13.jpg
POST_200;10:55:51;TikTok;Carrusel;9197;2742;Sin datos;Sin datos;69;Sin datos;165;26;58;41;3;233.78;5;279.78;3.2;66.0;1.95;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_200.jpg;2025-04-10;IMG_200.jpg
POST_157;01:00:43;Facebook;Imagen;9899;2039;Sin datos;Sin datos;91;Sin datos;258;39;64;27;7;424.8;8;175.28;2.3;68.0;1.87;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_157.jpg;2025-01-25;IMG_157.jpg
POST_32;21:56:18;Twitter;Reel;39601;243;4391;255;75;0.89;403;30;80;24;17;82.14;10;804.8;4.64;143.0;0.38;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_32.jpg;2025-06-16;IMG_32.jpg
POST_59;00:31:55;TikTok;Carrusel;18344;2965;Sin datos;Sin datos;96;Sin datos;107;36;152;20;17;423.16;9;0.0;2.61;67.0;0.78;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_59.jpg;2024-08-24;IMG_59.jpg
POST_26;19:17:25;Instagram;Imagen;32559;4718;Sin datos;Sin datos;41;Sin datos;406;34;137;31;19;444.7;1;685.51;1.17;125.0;1.38;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_26.jpg;2025-04-23;IMG_26.jpg
POST_167;00:38:01;TikTok;Reel;17180;1339;5055;183;20;0.79;38;19;92;35;16;380.95;0;0.0;3.51;134.0;1.54;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_167.jpg;2025-05-19;IMG_167.jpg
POST_35;05:54:56;Instagram;Reel;30079;3974;497;223;98;0.65;490;43;88;43;15;25.42;8;0.0;4.35;89.0;1.99;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_35.jpg;2025-03-28;IMG_35.jpg
POST_61;15:54:19;Facebook;Imagen;25967;656;Sin datos;Sin datos;84;Sin datos;282;27;71;35;16;254.35;9;349.09;2.73;0.04;0.74;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_61.jpg;2025-03-01;IMG_61.jpg
POST_84;07:10:29;Instagram;Carrusel;16480;635;Sin datos;Sin datos;89;Sin datos;368;19;180;12;3;312.19;2;0.0;1.19;83.0;0.39;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_84.jpg;2025-07-13;IMG_84.jpg
POST_98;00:23:36;Instagram;Carrusel;18265;3799;Sin datos;Sin datos;32;Sin datos;459;1;28;20;6;18.16;9;939.35;1.17;11.0;1.62;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_98.jpg;2024-08-05;IMG_98.jpg
POST_45;01:34:08;Instagram;Carrusel;46705;4086;Sin datos;Sin datos;99;Sin datos;181;15;144;10;14;391.43;0;308.43;3.22;23.0;1.34;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_45.jpg;2025-04-13;IMG_45.jpg
POST_55;19:41:46;TikTok;Carrusel;39155;2280;Sin datos;Sin datos;37;Sin datos;296;21;159;40;12;317.06;10;0.0;3.87;68.0;0.56;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_55.jpg;2024-12-22;IMG_55.jpg
POST_141;13:32:33;TikTok;Reel;18897;4561;9011;267;77;0.87;391;31;80;13;9;455.15;6;298.55;1.58;95.0;0.36;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_141.jpg;2024-09-20;IMG_141.jpg
POST_101;16:39:33;Twitter;Carrusel;13700;2244;Sin datos;Sin datos;46;Sin datos;129;6;156;24;1;345.48;2;738.03;4.59;0.03;0.2;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_101.jpg;2025-03-03;IMG_101.jpg
POST_57;06:41:10;Twitter;Carrusel;13116;4196;Sin datos;Sin datos;71;Sin datos;111;0;161;24;0;23.71;4;79.16;4.75;25.0;1.3;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_57.jpg;2025-07-01;IMG_57.jpg
POST_79;08:48:15;Instagram;Imagen;16812;655;Sin datos;Sin datos;99;Sin datos;231;41;82;28;1;66.28;8;342.59;1.25;0.03;1.7;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_79.jpg;2024-11-14;IMG_79.jpg
POST_20;02:23:00;Twitter;Reel;46929;2407;7255;113;7;0.91;372;36;133;43;15;372.25;8;365.4;4.1;127.0;0.47;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_20.jpg;2025-04-17;IMG_20.jpg
POST_105;08:32:46;Instagram;Reel;29083;540;9609;23;44;0.45;409;32;81;50;10;196.38;0;575.11;3.97;124.0;1.23;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_105.jpg;2025-04-14;IMG_105.jpg
POST_179;01:45:57;TikTok;Imagen;19254;2852;Sin datos;Sin datos;72;Sin datos;321;9;151;18;10;319.56;6;0.0;1.91;43.0;1.7;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_179.jpg;2025-07-20;IMG_179.jpg
POST_138;23:05:17;Twitter;Imagen;34674;1019;Sin datos;Sin datos;99;Sin datos;202;41;189;50;14;58.99;6;0.0;1.34;17.0;0.12;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_138.jpg;2025-04-12;IMG_138.jpg
POST_42;21:30:31;Twitter;Imagen;30947;3020;Sin datos;Sin datos;69;Sin datos;257;28;88;21;9;421.27;5;0.0;2.09;119.0;1.75;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_42.jpg;2024-08-22;IMG_42.jpg
POST_159;12:23:06;Twitter;Imagen;44359;2986;Sin datos;Sin datos;48;Sin datos;306;47;94;7;2;83.63;7;833.16;0.92;82.0;1.86;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_159.jpg;2025-04-01;IMG_159.jpg
POST_165;19:18:49;Twitter;Imagen;32719;935;Sin datos;Sin datos;5;Sin datos;317;14;47;23;1;255.93;10;646.17;4.38;16.0;0.25;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_165.jpg;2024-09-27;IMG_165.jpg
POST_175;05:07:54;Facebook;Carrusel;16667;4569;Sin datos;Sin datos;26;Sin datos;398;2;118;48;16;227.24;8;0.0;1.63;92.0;0.74;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_175.jpg;2024-10-09;IMG_175.jpg
POST_137;05:27:43;TikTok;Carrusel;24477;2412;Sin datos;Sin datos;24;Sin datos;246;45;33;34;1;310.57;10;529.8;2.37;149.0;0.55;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_137.jpg;2025-05-26;IMG_137.jpg
POST_44;19:36:14;Facebook;Reel;20062;4883;1568;20;0;0.31;487;40;55;14;10;202.06;4;0.0;3.36;24.0;1.73;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_44.jpg;2024-08-16;IMG_44.jpg
POST_40;01:04:26;Twitter;Imagen;20026;3459;Sin datos;Sin datos;50;Sin datos;194;31;18;18;20;32.43;5;0.0;3.98;138.0;0.25;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_40.jpg;2025-04-17;IMG_40.jpg
POST_98;14:20:04;TikTok;Imagen;12405;3917;Sin datos;Sin datos;52;Sin datos;167;0;126;6;6;146.76;0;364.69;4.97;21.0;1.51;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_98.jpg;2024-08-05;IMG_98.jpg
POST_96;07:02:16;Instagram;Reel;36906;947;5576;299;71;0.19;398;2;113;36;11;160.46;2;62.33;3.83;51.0;0.95;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_96.jpg;2025-06-16;IMG_96.jpg
POST_182;23:36:08;TikTok;Carrusel;48747;2012;Sin datos;Sin datos;1;Sin datos;60;30;162;40;16;387.08;9;913.71;2.07;143.0;1.0;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_182.jpg;2025-03-29;IMG_182.jpg
POST_28;10:31:22;Facebook;Carrusel;22682;4337;Sin datos;Sin datos;0;Sin datos;228;22;5;30;10;134.4;4;464.52;1.93;65.0;0.81;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_28.jpg;2025-03-23;IMG_28.jpg
POST_66;21:43:17;Instagram;Imagen;291;4651;Sin datos;Sin datos;47;Sin datos;259;38;159;0;17;403.77;7;94.22;4.52;21.0;0.2;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_66.jpg;2024-11-12;IMG_66.jpg
POST_2;14:07:47;TikTok;Reel;13530;1005;4277;200;36;0.52;78;35;150;10;20;471.94;7;0.0;3.67;66.0;0.85;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_2.jpg;2025-05-23;IMG_2.jpg
POST_142;10:05:44;Facebook;Reel;3871;2731;445;147;79;0.52;88;39;144;34;2;403.59;2;0.0;1.34;48.0;0.68;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_142.jpg;2025-01-03;IMG_142.jpg
POST_117;20:49:12;Twitter;Carrusel;47756;3317;Sin datos;Sin datos;23;Sin datos;405;27;175;34;2;234.43;2;714.84;0.92;75.0;0.54;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_117.jpg;2025-06-23;IMG_117.jpg
POST_199;00:51:20;TikTok;Reel;14012;3464;9538;208;43;0.91;147;33;81;8;0;248.85;7;90.66;0.62;67.0;0.99;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_199.jpg;2024-12-12;IMG_199.jpg
POST_95;04:28:15;TikTok;Reel;29292;776;5810;81;98;0.18;86;19;142;5;20;367.27;10;831.36;4.29;74.0;0.92;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_95.jpg;2024-08-19;IMG_95.jpg
POST_85;06:37:39;Twitter;Imagen;29478;3420;Sin datos;Sin datos;7;Sin datos;328;50;21;45;9;33.7;9;130.35;2.66;145.0;0.66;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_85.jpg;2024-12-19;IMG_85.jpg
POST_134;06:58:14;Twitter;Carrusel;32969;1981;Sin datos;Sin datos;58;Sin datos;490;16;154;11;10;360.16;3;235.24;4.24;71.0;1.04;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_134.jpg;2025-04-24;IMG_134.jpg
POST_15;22:51:54;TikTok;Reel;46861;2372;1854;181;5;0.14;152;31;188;30;8;31.72;3;712.77;4.71;24.0;1.89;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_15.jpg;2025-06-26;IMG_15.jpg
POST_41;23:13:18;Facebook;Imagen;41032;2938;Sin datos;Sin datos;60;Sin datos;280;25;3;14;12;215.49;2;0.0;2.59;118.0;1.47;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_41.jpg;2025-03-18;IMG_41.jpg
POST_197;05:21:52;Facebook;Carrusel;11117;2086;Sin datos;Sin datos;19;Sin datos;91;4;176;48;11;294.39;10;592.89;4.19;134.0;0.14;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_197.jpg;2025-03-02;IMG_197.jpg
POST_38;07:32:04;TikTok;Imagen;690;4349;Sin datos;Sin datos;42;Sin datos;182;17;12;39;4;348.79;1;617.28;3.59;19.0;1.68;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_38.jpg;2024-08-12;IMG_38.jpg
POST_79;18:55:25;Instagram;Imagen;5628;1622;Sin datos;Sin datos;90;Sin datos;357;8;114;39;8;202.55;0;203.01;3.14;0.06;1.06;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_79.jpg;2024-11-14;IMG_79.jpg
POST_7;20:21:59;Instagram;Imagen;17791;95;Sin datos;Sin datos;82;Sin datos;360;13;10;21;18;228.96;6;0.0;0.89;112.0;0.46;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_7.jpg;2024-10-13;IMG_7.jpg
POST_97;01:22:11;Twitter;Reel;29590;4436;6565;125;91;0.96;300;23;111;13;14;148.97;4;728.26;4.49;116.0;0.81;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_97.jpg;2025-03-13;IMG_97.jpg
POST_153;01:46:19;Facebook;Carrusel;4278;344;Sin datos;Sin datos;90;Sin datos;487;18;182;41;1;409.54;8;125.57;4.52;53.0;1.96;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_153.jpg;2025-08-01;IMG_153.jpg
POST_39;13:39:29;Twitter;Reel;17935;2478;8012;75;73;0.74;470;22;26;18;15;263.07;9;620.5;2.19;0.13;0.74;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_39.jpg;2024-12-06;IMG_39.jpg
POST_58;04:37:12;Facebook;Reel;37953;4002;5085;199;50;0.44;114;26;147;4;12;223.74;4;484.08;3.07;35.0;0.71;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_58.jpg;2025-05-28;IMG_58.jpg
